City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
204,Saint-Georges,12.0564,-61.7485,85.68,74,40,23.02,GD,scattered clouds
205,Sao Filipe,14.8961,-24.4956,75.67,85,67,8.57,CV,broken clouds
206,La Rioja,42.25,-2.5,87.58,31,4,11.1,ES,clear sky
207,Waw,7.7029,27.9953,71.6,94,100,2.17,SS,overcast clouds
208,Niquelandia,-14.4739,-48.4597,89.31,23,44,6.42,BR,scattered clouds
209,Mamallapuram,12.6264,80.1722,86.05,76,68,9.75,IN,broken clouds
210,Giulianova,42.7612,13.9537,88.75,63,0,4.45,IT,clear sky
211,Maracacume,-2.0428,-45.9592,88.97,42,59,5.57,BR,broken clouds
212,Torbay,47.6666,-52.7314,77.77,58,75,18.41,CA,broken clouds
213,Tanout,14.9709,8.8879,90.14,36,61,7.34,NE,broken clouds
214,Manono,-7.3,27.4167,78.93,39,67,4.5,CD,broken clouds
215,Okakarara,-20.5833,17.4333,57.96,30,0,7.31,NA,clear sky
216,Los Llanos De Aridane,28.6585,-17.9182,71.35,78,20,17.27,ES,few clouds
217,Cabedelo,-6.9811,-34.8339,75.87,81,100,12.55,BR,overcast clouds
218,Novomalorossiyskaya,45.6348,39.8948,65.43,47,18,8.03,RU,few clouds
219,Bertoua,4.5833,13.6833,70.34,90,86,0.81,CM,overcast clouds
220,San,13.3034,-4.8956,86.83,53,91,6.64,ML,overcast clouds
221,Yondo,7.0062,-73.9097,84.69,70,40,2.3,CO,scattered clouds
222,Salalah,17.0151,54.0924,77.09,94,100,5.75,OM,overcast clouds
223,Kalemie,-5.9475,29.1947,72.46,62,9,7.25,CD,clear sky
224,Antofagasta,-23.65,-70.4,60.08,71,56,6.11,CL,broken clouds
225,Vieux-Habitants,16.0589,-61.7659,87.37,69,31,16.87,GP,scattered clouds
226,Dossor,47.5272,52.9811,85.23,37,100,7.29,KZ,overcast clouds
227,Opuwo,-18.0607,13.84,65.77,26,0,7.52,NA,clear sky
228,Petropavlovskaya,45.0819,40.4512,66.22,60,25,7.61,RU,scattered clouds
229,Vila Velha,-20.3297,-40.2925,76.95,78,40,13.8,BR,scattered clouds
230,Westport,41.1415,-73.3579,91.31,66,0,13.8,US,clear sky
231,Qeshm,26.9581,56.2719,91.29,82,21,11.86,IR,few clouds
232,Muisne,0.6,-80.0333,75.36,79,100,10.92,EC,overcast clouds
233,Bengkulu,-3.8004,102.2655,75.33,92,89,4.0,ID,overcast clouds
234,Shakiso,5.75,38.9167,60.58,78,98,1.97,ET,overcast clouds
235,Dobryanka,58.4619,56.4165,56.03,95,59,2.57,RU,broken clouds
236,Samfya,-11.3649,29.5565,71.96,39,63,8.93,ZM,broken clouds
237,Kashary,49.04,41.0056,62.94,66,57,10.56,RU,broken clouds
238,Saint-Joseph,-21.3667,55.6167,63.21,73,38,14.07,RE,scattered clouds
239,Maceio,-9.6658,-35.7353,78.24,73,75,16.11,BR,broken clouds
240,Jever,53.5833,7.9,65.98,94,99,8.97,DE,light rain
241,Haapsalu,58.9431,23.5414,73.98,70,41,6.49,EE,scattered clouds
242,Pacasmayo,-7.4006,-79.5714,67.33,70,91,14.61,PE,overcast clouds
243,Masuguru,-11.3667,38.4167,77.38,43,46,4.05,TZ,scattered clouds
244,Bonavista,48.6499,-53.1147,61.32,82,99,7.25,CA,overcast clouds
245,Talara,-4.5772,-81.2719,74.16,60,0,21.85,PE,clear sky
246,Olinda,-8.0089,-34.8553,74.93,88,75,9.22,BR,broken clouds
247,Marrakesh,31.6315,-8.0083,102.27,19,75,6.91,MA,broken clouds
248,Clyde River,70.4692,-68.5914,41.23,93,100,17.27,CA,light rain
249,Fort-Shevchenko,44.5086,50.263,77.36,68,79,21.99,KZ,broken clouds
250,Kedrovyy,56.1667,91.8167,59.41,88,100,3.49,RU,overcast clouds
251,Iqaluit,63.7506,-68.5145,40.73,93,100,6.91,CA,overcast clouds
252,Pisco,-13.7,-76.2167,66.02,72,40,6.91,PE,smoke
