City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Umuarama,-23.7664,-53.325,60.21,59,100,8.3,BR,2022-07-17 17:40:19
360,Isla Mujeres,21.2311,-86.731,91.45,62,10,12.88,MX,2022-07-17 17:40:20
361,Dalvik,65.9702,-18.5286,48.13,93,100,5.7,IS,2022-07-17 17:40:20
362,Varnavino,57.4035,45.0916,60.71,87,83,3.02,RU,2022-07-17 17:40:21
363,Kincardine,56.0667,-3.7167,75.47,58,100,7.83,GB,2022-07-17 17:40:21
364,Port Shepstone,-30.7414,30.455,66.11,82,0,16.62,ZA,2022-07-17 17:40:22
365,Anloga,5.7947,0.8973,76.55,83,43,15.08,GH,2022-07-17 17:40:23
366,Baijiantan,45.6333,85.1833,89.92,18,38,6.96,CN,2022-07-17 17:41:24
367,Pozhva,59.0912,56.0847,61.63,70,0,5.48,RU,2022-07-17 17:41:24
368,Iranduba,-3.2847,-60.1861,91.72,42,61,5.7,BR,2022-07-17 17:41:25
369,Mecca,21.4267,39.8261,89.51,30,83,6.91,SA,2022-07-17 17:41:26
370,Adand,46.8593,18.1644,75.83,20,21,7.25,HU,2022-07-17 17:41:27
371,Lutkun,41.4808,47.6858,68.77,69,0,3.09,RU,2022-07-17 17:41:28
372,Tatarsk,55.219,75.9828,57.4,76,75,8.57,RU,2022-07-17 17:41:28
373,Nioki,-2.7167,17.6833,86.22,38,71,2.28,CD,2022-07-17 17:41:29
374,Santa Lucia,27.9117,-15.5407,71.76,65,20,35.68,ES,2022-07-17 17:39:57
375,Santa Fe,-31.6333,-60.7,59.02,45,0,7.0,AR,2022-07-17 17:37:58
376,Luba,3.4568,8.5547,76.96,87,88,6.38,GQ,2022-07-17 17:41:30
377,Kalaleh,37.3807,55.4916,88.16,56,0,4.45,IR,2022-07-17 17:41:31
378,Sturgeon Bay,44.8342,-87.377,80.96,54,0,8.05,US,2022-07-17 17:41:32
379,Sao Filipe,14.8961,-24.4956,76.1,79,31,15.32,CV,2022-07-17 17:41:33
380,Labe,11.3182,-12.2833,72.21,90,96,3.44,GN,2022-07-17 17:41:33
381,Khvorostyanka,52.6096,48.9597,68.77,67,12,4.52,RU,2022-07-17 17:41:34
382,Surt,31.2089,16.5887,80.26,63,0,12.97,LY,2022-07-17 17:41:35
383,Limulunga,-15.0969,23.1376,60.15,33,3,6.98,ZM,2022-07-17 17:41:35
384,Tucuman,-26.8241,-65.2226,60.8,39,0,3.44,AR,2022-07-17 17:41:36
385,Marienburg,54.0359,19.0266,67.84,59,83,8.05,PL,2022-07-17 17:38:32
386,Calabar,4.9517,8.322,75.52,89,98,2.86,NG,2022-07-17 17:41:37
387,Chapada Dos Guimaraes,-15.4606,-55.7497,69.46,34,3,8.72,BR,2022-07-17 17:41:37
388,Gafanha Da Encarnacao,40.6181,-8.733,74.01,72,20,7.2,PT,2022-07-17 17:41:38
389,Sapouy,11.5544,-1.7736,78.73,75,79,2.71,BF,2022-07-17 17:41:39
390,Kasempa,-13.4584,25.8338,57.74,41,4,5.08,ZM,2022-07-17 17:41:39
391,Oranjestad,12.524,-70.027,87.75,66,40,26.46,AW,2022-07-17 17:41:40
392,Pedro Juan Caballero,-22.5472,-55.7333,55.36,67,0,9.22,PY,2022-07-17 17:41:41
393,Opuwo,-18.0607,13.84,64.8,31,1,8.52,NA,2022-07-17 17:41:42
394,Coxim,-18.5067,-54.76,90.3,33,26,3.67,BR,2022-07-17 17:41:43
395,Miandrivazo,-19.5167,45.4667,74.46,35,5,13.62,MG,2022-07-17 17:41:43
396,Chapais,49.7834,-74.8492,74.98,31,79,8.03,CA,2022-07-17 17:41:44
397,Bikaner,28.0167,73.3,91.42,56,87,6.24,IN,2022-07-17 17:40:37
398,Agadez,19.75,10.25,96.53,18,10,10.0,NE,2022-07-17 17:41:45
399,Santa Maria,-29.6842,-53.8069,52.9,62,75,8.05,BR,2022-07-17 17:37:00
400,Koroni,36.8,21.95,85.71,67,4,1.81,GR,2022-07-17 17:41:47
401,Nizhnekamsk,55.6366,51.8245,65.19,100,20,6.71,RU,2022-07-17 17:41:47
402,Dolores,-36.3132,-57.6792,56.68,33,2,17.09,AR,2022-07-17 17:41:48
403,Halifax,44.6453,-63.5724,76.89,60,87,5.99,CA,2022-07-17 17:39:54
404,Carupano,10.6678,-63.2585,82.24,81,92,6.64,VE,2022-07-17 17:41:50
405,Mogadishu,2.0371,45.3438,76.55,81,24,18.95,SO,2022-07-17 17:41:51
406,Durban,-29.8579,31.0292,67.12,87,0,5.01,ZA,2022-07-17 17:40:28
407,Yambio,4.5721,28.3955,69.98,95,84,2.91,SS,2022-07-17 17:41:51
408,Coihueco,-36.6167,-71.8333,41.74,93,100,20.71,CL,2022-07-17 17:41:52
409,Ystad,55.4297,13.8204,68.74,63,58,12.8,SE,2022-07-17 17:41:52
410,Rincon,32.296,-81.2354,84.16,65,75,14.97,US,2022-07-17 17:42:53
411,Pemba,-12.974,40.5178,74.16,76,21,12.64,MZ,2022-07-17 17:42:53
412,San Luis,-33.295,-66.3356,58.44,21,7,17.63,AR,2022-07-17 17:42:54
413,Padang,-0.9492,100.3543,73.45,81,84,3.62,ID,2022-07-17 17:42:55
414,Dzialdowo,53.2396,20.17,63.07,57,99,4.0,PL,2022-07-17 17:42:56
415,Yendi,9.4427,-0.0099,75.29,92,96,3.65,GH,2022-07-17 17:42:57
416,Novo Cruzeiro,-17.4681,-41.8753,78.87,31,24,6.69,BR,2022-07-17 17:42:57
417,Sindou,10.6667,-5.1667,79.39,74,95,5.32,BF,2022-07-17 17:42:58
418,Shu,43.5983,73.7614,82.08,19,0,9.91,KZ,2022-07-17 17:42:59
419,Plavinas,56.6178,25.7255,55.45,90,97,4.34,LV,2022-07-17 17:43:00
420,Kostomuksha,64.571,30.5767,56.37,85,84,5.46,RU,2022-07-17 17:43:01
421,La Rioja,42.25,-2.5,96.58,27,37,5.55,ES,2022-07-17 17:43:01
422,Plouzane,48.3833,-4.6167,93.52,30,0,8.05,FR,2022-07-17 17:43:02
423,Tucuma,-0.1833,-50.05,87.26,59,49,7.05,BR,2022-07-17 17:43:03
424,Verkhnyaya Inta,65.9811,60.3094,61.56,85,41,7.29,RU,2022-07-17 17:43:04
425,Betsiamites,48.9413,-68.646,77.4,60,74,14.5,CA,2022-07-17 17:43:04
426,Sars,56.5502,57.1366,61.45,84,50,0.94,RU,2022-07-17 17:43:05
427,The Valley,18.217,-63.0578,89.46,62,20,18.41,AI,2022-07-17 17:43:06
428,Keuruu,62.2667,24.7,55.8,90,88,6.15,FI,2022-07-17 17:43:07
429,Zhob,31.3411,69.4481,73.24,76,91,4.63,PK,2022-07-17 17:43:07
430,Praia,14.9215,-23.5087,82.94,61,20,21.85,CV,2022-07-17 17:43:08
431,Presidente Medici,-11.1753,-61.9014,98.24,26,3,5.28,BR,2022-07-17 17:43:08
432,Bonavista,48.6499,-53.1147,65.17,65,13,19.06,CA,2022-07-17 17:43:09
433,Termoli,41.9888,14.9895,85.78,62,37,5.48,IT,2022-07-17 17:43:09
434,Santana Do Livramento,-30.8908,-55.5328,52.95,60,0,5.37,BR,2022-07-17 17:43:10
435,Tsivilsk,55.8611,47.4664,70.81,84,16,3.83,RU,2022-07-17 17:43:11
436,Santo Antonio Do Sudoeste,-26.0736,-53.7253,60.1,51,31,3.69,BR,2022-07-17 17:42:32
437,Chapleau,47.8405,-83.4034,78.89,50,40,5.75,CA,2022-07-17 17:43:12
438,Cumberland,35.0502,-78.8664,91.87,59,20,9.22,US,2022-07-17 17:43:14
439,Bandarbeyla,9.4942,50.8122,76.84,80,13,35.77,SO,2022-07-17 17:43:14
440,Ekangala,-25.6962,28.7492,56.3,43,0,6.87,ZA,2022-07-17 17:43:15
441,Saint-Georges,12.0564,-61.7485,85.68,74,40,24.16,GD,2022-07-17 17:43:16
442,Brae,60.3964,-1.353,55.33,80,95,12.26,GB,2022-07-17 17:43:18
443,Kananga,-5.8958,22.4178,82.96,30,93,2.39,CD,2022-07-17 17:43:19
444,Freeport,40.6576,-73.5832,86.29,63,75,12.66,US,2022-07-17 17:42:17
445,Bawku,11.0616,-0.2417,79.52,72,93,2.19,GH,2022-07-17 17:43:20
446,Semnan,35.5729,53.3971,93.04,14,0,6.91,IR,2022-07-17 17:43:21
447,Antalaha,-14.9003,50.2788,67.77,86,53,9.35,MG,2022-07-17 17:43:22
448,Itaobim,-16.5667,-41.8333,87.15,28,16,8.21,BR,2022-07-17 17:43:23
